"batch.scrambled","consignment.scrambled","country.export.scrambled","country.harvest.scrambled","tonnage","year.scrambled","numPos"
870,147,5,7,6,3,0
871,626,5,7,8,3,0
872,2455,2,6,18,4,0
873,636,5,7,8,2,0
874,530,2,5,18,1,0
875,1092,2,5,13,2,0
876,1776,1,4,NA,1,0
877,2331,3,1,14,2,0
878,1633,5,7,14,3,0
879,1874,5,7,18,4,0
880,202,2,5,14,4,0
881,97,2,5,12,4,0
882,186,5,7,20,2,0
883,1527,2,5,20,2,0
884,1046,5,7,4,3,0
885,1627,5,7,15,3,0
886,1660,5,8,NA,1,0
887,2637,5,7,18,4,0
888,833,2,5,15,3,0
889,1542,5,7,14,3,0
890,2498,4,3,10,1,0
891,2210,2,5,10,2,0
892,1560,5,7,18,4,0
893,792,5,7,8,4,0
894,2003,4,3,17,3,0
895,1477,2,5,17,4,0
896,834,5,7,16,4,0
897,550,5,7,16,3,0
898,2254,5,7,15,3,0
899,435,2,5,17,2,0
900,994,5,7,14,3,0
901,317,5,8,14,1,0
902,1747,4,6,11,1,0
903,526,5,8,14,2,0
904,657,1,4,NA,1,0
905,593,2,5,18,2,0
906,2129,5,7,5,3,0
907,691,4,8,4,2,0
908,2487,2,5,18,3,0
909,2404,5,7,14,3,0
910,763,5,7,15,3,0
911,1652,2,5,3,3,0
912,442,2,5,17,3,0
913,850,5,7,8,2,0
914,1094,5,7,6,3,0
915,2218,3,6,11,3,0
916,193,4,3,7,4,0
917,278,2,5,8,2,0
918,611,5,7,18,4,0
919,933,5,7,4,3,0
920,1410,2,5,18,2,0
921,1201,4,3,18,2,0
922,523,5,7,6,3,0
923,836,3,8,6,3,0
924,600,3,8,5,3,0
925,560,4,3,17,4,0
926,1686,3,8,6,3,0
927,1128,5,7,14,4,0
928,67,5,7,5,3,0
929,296,2,5,6,4,0
930,2100,5,7,16,3,0
931,630,5,7,12,3,0
932,1418,2,5,13,4,0
933,1647,5,7,14,3,0
934,1836,4,8,15,4,0
935,2423,5,7,8,3,0
936,1112,4,3,20,1,0
937,2007,5,7,6,4,0
